time_step,pimple_iter,iter_time_s,reaction_time_s,other_time_s,reaction_percent,before_time,after_time,end_time
0.0165841,1,5.240000000000009,5.180000000000007,0.060000000000002274,98.85496183206102,184.28,189.46,189.52
0.0170756,1,5.3300000000000125,5.259999999999991,0.0700000000000216,98.68667917448364,189.53,194.79,194.86
0.017567,1,5.579999999999984,5.5,0.07999999999998408,98.56630824372789,194.86,200.36,200.44
0.0180584,1,5.5400000000000205,5.480000000000018,0.060000000000002274,98.91696750902523,200.45,205.93,205.99
0.0185498,1,5.6299999999999955,5.569999999999993,0.060000000000002274,98.93428063943158,206.0,211.57,211.63
0.019049,1,5.600000000000023,5.5400000000000205,0.060000000000002274,98.92857142857139,211.64,217.18,217.24
0.0195482,1,5.72999999999999,5.6699999999999875,0.060000000000002274,98.95287958115179,217.25,222.92,222.98
0.0200474,1,5.97999999999999,5.909999999999997,0.06999999999999318,98.8294314381272,222.99,228.9,228.97
0.0205466,1,5.860000000000014,5.789999999999992,0.0700000000000216,98.80546075085289,228.97,234.76,234.83
0.0210458,1,5.960000000000008,5.889999999999986,0.0700000000000216,98.82550335570434,234.84,240.73,240.8
0.021545,1,5.889999999999986,5.819999999999993,0.06999999999999318,98.81154499151114,240.8,246.62,246.69
0.0220532,1,5.930000000000007,5.8700000000000045,0.060000000000002274,98.9881956155143,246.69,252.56,252.62
0.0225613,1,5.990000000000009,5.930000000000007,0.060000000000002274,98.99833055091815,252.63,258.56,258.62
0.0230694,1,6.0,5.939999999999998,0.060000000000002274,98.99999999999997,258.63,264.57,264.63
0.0235775,1,6.259999999999991,6.180000000000007,0.07999999999998408,98.72204472843475,264.64,270.82,270.9
0.0240857,1,6.259999999999991,6.189999999999998,0.06999999999999318,98.8817891373803,270.91,277.1,277.17
0.0245938,1,6.430000000000007,6.3700000000000045,0.060000000000002274,99.06687402799375,277.17,283.54,283.6
0.0251019,1,6.5,6.430000000000007,0.06999999999999318,98.92307692307702,283.61,290.04,290.11
0.02561,1,6.420000000000016,6.350000000000023,0.06999999999999318,98.90965732087238,290.12,296.47,296.54
0.0261182,1,6.439999999999998,6.3799999999999955,0.060000000000002274,99.06832298136642,296.54,302.92,302.98
0.0266263,1,6.329999999999984,6.25,0.07999999999998408,98.73617693522931,302.99,309.24,309.32
0.0271344,1,6.300000000000011,6.230000000000018,0.06999999999999318,98.888888888889,309.33,315.56,315.63
0.0276425,1,6.5400000000000205,6.449999999999989,0.09000000000003183,98.6238532110087,315.64,322.09,322.18
0.0281507,1,6.589999999999975,6.509999999999991,0.07999999999998408,98.78603945371799,322.18,328.69,328.77
0.0286588,1,6.460000000000036,6.390000000000043,0.06999999999999318,98.91640866873075,328.78,335.17,335.24
0.0291669,1,6.7900000000000205,6.7099999999999795,0.08000000000004093,98.8217967599405,335.25,341.96,342.04
0.0296877,1,6.419999999999959,6.349999999999966,0.06999999999999318,98.90965732087237,342.04,348.39,348.46
0.0301955,1,6.400000000000034,6.340000000000032,0.060000000000002274,99.06249999999997,348.46,354.8,354.86
0.0307033,1,6.409999999999968,6.350000000000023,0.05999999999994543,99.06396255850318,354.87,361.22,361.28
0.0312112,1,6.519999999999982,6.439999999999998,0.07999999999998408,98.77300613496956,361.29,367.73,367.81
0.031719,1,7.560000000000002,7.480000000000018,0.07999999999998408,98.94179894179915,367.81,375.29,375.37
0.0322268,1,6.980000000000018,6.899999999999977,0.08000000000004093,98.85386819484182,375.38,382.28,382.36
0.0327346,1,6.819999999999993,6.740000000000009,0.07999999999998408,98.82697947214099,382.36,389.1,389.18
0.0332424,1,6.990000000000009,6.899999999999977,0.09000000000003183,98.71244635193086,389.19,396.09,396.18
0.0337502,1,7.050000000000011,6.980000000000018,0.06999999999999318,99.00709219858166,396.18,403.16,403.23
0.034258,1,6.8700000000000045,6.800000000000011,0.06999999999999318,98.98107714701612,403.24,410.04,410.11
0.0347658,1,6.610000000000014,6.550000000000011,0.060000000000002274,99.09228441754914,410.12,416.67,416.73
0.0352736,1,6.899999999999977,6.839999999999975,0.060000000000002274,99.13043478260866,416.74,423.58,423.64
0.0357814,1,7.259999999999991,7.189999999999998,0.06999999999999318,99.0358126721764,423.64,430.83,430.9
0.0362892,1,7.100000000000023,7.0400000000000205,0.060000000000002274,99.15492957746476,430.9,437.94,438.0
0.036797,1,7.189999999999998,7.100000000000023,0.08999999999997499,98.74826147427017,438.01,445.11,445.2
0.0373048,1,7.470000000000027,7.389999999999986,0.08000000000004093,98.92904953145862,445.2,452.59,452.67
0.0378126,1,7.550000000000011,7.46999999999997,0.08000000000004093,98.94039735099284,452.68,460.15,460.23
0.0383204,1,7.310000000000002,7.25,0.060000000000002274,99.17920656634743,460.24,467.49,467.55
0.0388283,1,7.430000000000007,7.3700000000000045,0.060000000000002274,99.19246298788693,467.55,474.92,474.98
0.0393361,1,7.46999999999997,7.389999999999986,0.07999999999998408,98.92904953145938,474.99,482.38,482.46
0.0398439,1,7.670000000000016,7.600000000000023,0.06999999999999318,99.08735332464154,482.46,490.06,490.13
0.0403517,1,7.100000000000023,7.0400000000000205,0.060000000000002274,99.15492957746476,490.13,497.17,497.23
0.0408595,1,7.110000000000014,7.050000000000011,0.060000000000002274,99.15611814345988,497.24,504.29,504.35
0.0413673,1,7.279999999999973,7.199999999999989,0.07999999999998408,98.90109890109912,504.36,511.56,511.64
0.0418751,1,7.3799999999999955,7.32000000000005,0.05999999999994543,99.18699186991944,511.65,518.97,519.03
0.0423829,1,7.360000000000014,7.290000000000077,0.06999999999993634,99.04891304347913,519.04,526.33,526.4
0.0428907,1,7.580000000000041,7.519999999999982,0.06000000000005912,99.20844327176704,526.41,533.93,533.99
0.0433985,1,7.460000000000036,7.389999999999986,0.07000000000005002,99.06166219839075,534.0,541.39,541.46
0.0439063,1,7.8700000000000045,7.7999999999999545,0.07000000000005002,99.11054637865247,541.46,549.26,549.33
0.0444141,1,7.919999999999959,7.849999999999909,0.07000000000005002,99.11616161616098,549.33,557.18,557.25
0.0449219,1,8.210000000000036,8.129999999999995,0.08000000000004093,99.02557856272789,557.26,565.39,565.47
0.0454297,1,8.360000000000014,8.299999999999955,0.06000000000005912,99.282296650717,565.48,573.78,573.84
0.0459375,1,8.350000000000023,8.279999999999973,0.07000000000005002,99.16167664670598,573.85,582.13,582.2
0.0464454,1,8.559999999999945,8.490000000000009,0.06999999999993634,99.18224299065494,582.2,590.69,590.76
0.0469532,1,8.460000000000036,8.399999999999977,0.06000000000005912,99.29078014184327,590.77,599.17,599.23
0.047461,1,8.569999999999936,8.470000000000027,0.09999999999990905,98.83313885647713,599.24,607.71,607.81
0.0479688,1,8.450000000000045,8.38000000000011,0.06999999999993634,99.17159763313686,607.81,616.19,616.26
0.0484766,1,8.440000000000055,8.360000000000014,0.08000000000004093,99.05213270142133,616.27,624.63,624.71
0.0489844,1,8.299999999999955,8.209999999999923,0.09000000000003183,98.91566265060202,624.72,632.93,633.02
